Model,InputType,FeatureType,Strategy,Alpha,Val_Sharpe,Val_Precision,Val_Recall,Val_AvgReturn,Test_Sharpe,Test_Precision,Test_Recall,Test_AvgReturn,Model_Path
XGBOOST,ohlc,extended,long,0.644,0.20879960716694765,0.6306569343065693,0.08059701492537313,0.0018842655659750895,0.06936183701337374,0.5905349794238683,0.05514988470407379,0.0005745456158863046,experiments/experiment_time/models/xgboost_long_ohlc_extended.pkl
XGBOOST,candle,extended,long,0.655,0.11528153494395442,0.6187845303867403,0.08358208955223881,0.0012814553880351918,0.10399592535362101,0.5801526717557252,0.05841660261337433,0.0009117163129144396,experiments/experiment_time/models/xgboost_long_candle_extended.pkl
LGBM,ohlc,extended,long,0.627,0.16433959935951556,0.6150740242261103,0.08526119402985075,0.0015477090302890876,0.052868136946093665,0.5778816199376947,0.0712913143735588,0.0004569663702061793,experiments/experiment_time/models/lgbm_long_ohlc_extended.pkl
LOGISTIC,ohlc,extended,long,0.616,0.09340963881219669,0.5843828715365239,0.08656716417910448,0.0011977819646138616,0.11733581784189874,0.5644768856447688,0.044581091468101464,0.0011691407403768477,experiments/experiment_time/models/logistic_long_ohlc_extended.pkl
LGBM,candle,extended,long,0.639,0.0628387974576048,0.5933609958506224,0.08003731343283582,0.000634127625770582,-0.007552556543414569,0.561046511627907,0.07417371252882399,-6.445199274495078e-05,experiments/experiment_time/models/lgbm_long_candle_extended.pkl
LOGISTIC,ohlc,raw,long,0.582,0.19216718991616918,0.5740740740740741,0.08097014925373135,0.0030805914484112466,0.01418672733352546,0.5400763358778626,0.05438124519600308,0.00015559061719838292,experiments/experiment_time/models/logistic_long_ohlc_raw.pkl
LOGISTIC,candle,raw,long,0.613,0.13288837158067768,0.5740514075887393,0.0875,0.0020394271374531868,0.008144369200757019,0.529500756429652,0.06725595695618755,8.052465834952605e-05,experiments/experiment_time/models/logistic_long_candle_raw.pkl
LOGISTIC,candle,extended,long,0.626,0.06276269926012237,0.5743174924165824,0.10597014925373134,0.0008089335137401329,-0.028460509960993335,0.5100864553314121,0.06802459646425826,-0.00026870655676863414,experiments/experiment_time/models/logistic_long_candle_extended.pkl
LGBM,ohlc,raw,long,0.5660000000000001,0.0017084335579561965,0.5189990732159406,0.1044776119402985,1.6295157927314637e-05,-0.005756935299330193,0.5063938618925832,0.038047655649500384,-5.163866982326383e-05,experiments/experiment_time/models/lgbm_long_ohlc_raw.pkl
XGBOOST,ohlc,raw,long,0.559,0.028392853161579155,0.547395388556789,0.11958955223880598,0.0002627221913195279,0.019247886862069172,0.5013736263736264,0.07013835511145274,0.00015766810947529238,experiments/experiment_time/models/xgboost_long_ohlc_raw.pkl
XGBOOST,candle,raw,long,0.602,0.015959386732582376,0.5257201646090535,0.0953358208955224,0.00017289575332410823,-0.015230550524460108,0.4938737040527804,0.10069177555726365,-0.00013236618553763406,experiments/experiment_time/models/xgboost_long_candle_raw.pkl
LGBM,candle,raw,long,0.612,0.03693672999375279,0.5312855517633674,0.0871268656716418,0.0004446328342561637,-0.031971815900231425,0.46956521739130436,0.07263643351268255,-0.0002685984626745992,experiments/experiment_time/models/lgbm_long_candle_raw.pkl
XGBOOST,ohlc,extended,short,0.77,0.16814837483026798,0.6095238095238096,0.012728719172633254,0.0015316788224429886,-0.0007947769649070796,0.561038961038961,0.04164256795835743,-5.275781965736863e-06,experiments/experiment_time/models/xgboost_short_ohlc_extended.pkl
XGBOOST,ohlc,raw,short,0.7030000000000001,-0.04438020915296504,0.5425531914893617,0.010143198090692125,-0.0002879445671811009,0.14249052902766463,0.5573505654281099,0.06651243493348756,0.0008948802907239197,experiments/experiment_time/models/xgboost_short_ohlc_raw.pkl
LGBM,ohlc,extended,short,0.757,0.17206777738782042,0.6181818181818182,0.006762132060461416,0.0014175129648870536,-0.05427071777500318,0.5506607929515418,0.024098708309234624,-0.00042231493352612475,experiments/experiment_time/models/lgbm_short_ohlc_extended.pkl
LOGISTIC,ohlc,raw,short,0.763,0.04029708940630962,0.5242463958060288,0.07955449482895784,0.00037255011884278384,0.0037261438058150713,0.5416285452881976,0.11413148255253519,2.6605575802710603e-05,experiments/experiment_time/models/logistic_short_ohlc_raw.pkl
LOGISTIC,ohlc,extended,short,0.682,0.05632852203050326,0.5266617969320672,0.1433969769291965,0.000589117240130651,0.005543289768220601,0.5299960270162892,0.25718141507615194,3.7209503342362266e-05,experiments/experiment_time/models/logistic_short_ohlc_extended.pkl
LOGISTIC,candle,extended,short,0.604,0.0007681133993393516,0.5120385232744783,0.3172235481304694,6.9353727403155294e-06,0.0014820202297688354,0.5115691230799144,0.5072296124927704,1.0467390215596817e-05,experiments/experiment_time/models/logistic_short_candle_extended.pkl
